,Release Year,Title,Origin/Ethnicity,Director,Cast,Genre,Wiki Page,Plot
34885,2017,İstanbul Kırmızısı,Turkish,Ferzan Özpetek,"Halit Ergenç, Tuba Büyüküstün, Mehmet Günsür, Nejat İşler",romantic,https://en.wikipedia.org/wiki/%C4%B0stanbul_K%C4%B1rm%C4%B1z%C4%B1s%C4%B1,"The writer Orhan Şahin returns to İstanbul after so many years to help the well-known director Deniz Soysal to write his first novel. Orhan finds himself to look with nostalgia at the places where he was born and raised, reliving the relationships with friends, family and past loves."
22893,2017,Bleeding Steel,Chinese,Leo Zhang,"Jackie Chan, Show Lo, Nana Ou-Yang, Xiahou Qiyu, Callan Mulvey",drama / action / science fiction,https://en.wikipedia.org/wiki/Bleeding_Steel,"Hospital doctors call to inform Special Agent Lin Dong (Jackie Chan) that his daughter Xixi (who suffers from leukemia) is in critical situation. He speeds over to the hospital with a teddy bear strapped into the backseat of the car. On the way, co worker Xiao Su (Erica Xia-hou) calls him to inform that a critical witness is in danger. Agent Lin stops right outside the hospital, pauses, and turns back to protect the critical witness Dr. James.
Dr. James injects himself with a chemical substance stored with a mechanical heart right before the police bursts in to escort him away. They are ambushed by man in black and almost all in the team are killed. Xixi meanwhile dies at hospital. Xiao Su manages to protect Dr. James from being killed, while Lin Dong manages to ram Andrew against an oil tank using his car and cause a huge explosion by shooting the oil tank. The car flips and the scene changes to 13 years later.
An author has recently released a book titled ""Bleeding Steel"" about an ex US marine who has a mechanical heart. A figure with red fishnet stockings and fur coat, ""Kitty"" walks into a hotel and pays a visit to the author of the book. She drugs the author and reveals that she is a man in disguise (Li Sen). She then proceeds to download information from his computer. Woman in Black attacks the building and demands the author to reveal where he got the inspiration of his book from. They are attacked by Lin Dong dressed in black, who also tries to find out the same answer. Police arrive, and they all part ways.
Nancy is seen receiving a serving of spaghetti with beef soup from Lin Dong (a server at the cafeteria) and gets in a fight with a fellow student. Lin Dong steps in to stop the fight, and Li Sen becomes interested in finding out more about her."
17952,2017, 2:22,Australian,Paul Currie,"Michiel Huisman, Teresa Palmer, Sam Reid",thriller,https://en.wikipedia.org/wiki/2:22_(2017_film),"The movie starts with Dylan Branson (Michiel Huisman) having a dream about a murder at the Grand Central Train Station that feels very real. He wakes with a start and progresses with his routine while watching news about a star called Hamlin that died 30 years ago, but its light is reaching the Earth 30 years later and that this supernova will have effects on the Earth and its inhabitants. Dylan is an air traffic controller who possess a unique ability to visualize patterns.
Dylan is shown on his way to work, riding a bike and heading to the Grand Central Station to take the train. After work, he goes to a club drinking with his co-workers and receives a ticket to an aerial ballet as a gift for his upcoming birthday. The following day at exactly 2:22pm, his world stops after he almost causes a midair collision of the two aircraft, resulting in him being suspended from his job.
The day after he was suspended, he attends the aerial ballet and meets Sarah (Teresa Palmer). They go to a restaurant and start talking, Dylan tells Sarah that his father was a pilot and that he also trained to be a pilot but could never become one as he was afraid of flying. Sarah tells him that she works at the Howard Pace Art Gallery. He also tells her about his being suspended from work, and he finds out that Sarah was on the plane that almost collided with the other aircraft at 2.22pm. Dylan felt apologetic about the incident, but Sarah was instead thankful towards Dylan for saving her life. As they depart, they admit to each other that for a ""first date"" they felt a deep connection and it felt like they had known each other forever.
The following day, while on the way to the Grand Central Dylan, notices the same happenings (siren, woman laugh, construction sound, ""Can I help you with"", glass breaking) and at 2:21 PM, he hears the announcement of the boarding of the Millhurst express, sees a businessman reading his newspaper, a couple hugging each other, a line of preschoolers where the last child in line drops something and a pregnant woman under the clock. At exactly 2:22 PM, the window of the station shatters. He goes to meet Sarah and asks her out to an early dinner, going to the Central Park with her. Sarah tells Dylan that she was a ballet dancer student before she landed awkwardly and tore two of her knee ligaments. Cheering her up, Dylan create an improvised speaker using a paper cup and ice cream cone holder, lifting Sarah's mood,they then dance and kiss. They go to Dylan's apartment and make love. The next morning, Dylan asks Sarah where she got her necklace from, to which Sarah replies that it was from her ex-boyfriend; Jonas (Sam Reid) who happens to be the main artist of the gallery at which she works. Dylan asks when is Sarah's birthday and they find out that both of them were born on the same day; April 18, 1986 and they are both turning 30 within a weeks time. Dylan suddenly hears a car crash on the road below his apartment at exactly 9:15 AM and he tells Sarah that it was 3rd day in a row that the same incident had happened.
Dylan takes a cab with a reckless driver going to Grand Central, as the driver take the shorter route Dylan tells him to stop the cab and notices again the same pattern of siren, a woman laugh, construction sounds, and a man saying ""Can I help you with"". Dylan then shouts for the cab to stop and this infuriates the cab driver, who turns around to tell Dylan off for shouting at him. Just then, another car hits them both, causing the breaking of the cab's glass windows. Even though Dylan is injured, he goes to the Grand Central Station and sees exactly the same pattern of events. He tells Sarah of these repeating patterns, but with different people carrying out the same actions. Sarah does not believe Dylan, but helps to clean his wounds from the car accident. Dylan goes home and starts writing all the events of his day starting from 9:10 AM (water drop, a bug dying, a plane flying overhead etc.) and realizes that everything has a pattern that's repeating itself.
Dylan goes to the gallery looking for Sarah, and realises that the gallery was having an exhibition with Jonas' art piece as the main exhibition. Jonas has created a light hologram exhibition about the Grand Central Station, and Dylan sees that it is exactly like the events that he has experienced the past few days (announcement of the boarding of Millhurst Express, a business man reading his newspaper, a couple embracing each other, a line of preschooler where the last in line drops something and a pregnant woman under the clocks). Dylan assumes that Jonas is stalking him as only Dylan knows about these events.He attacks Jonas resulting in a brawl and questions Jonas on whether he was stalking him. In the audience is the owner of the Keifer Gallery and he applauds saying it was a great idea to enact the murder at the Grand Central Station that happened 30 years ago and that he has an exhibit related to it at his gallery. Sarah apologises to Jonas about Dylan's attack and puts her relationship with Dylan on hold.
Later that night, Dylan texts Sarah to beg for her forgiveness. In the mean time, he finds a stack of envelope hidden in his home. He finds out Jake Redman (Duncan Ragg) has written these letters to a woman named Evelyn. Upon investigation, Dylan finds out that Jake was a criminal although he was never convicted for his crimes as the police could not find enough evidence to pin him down, while Evelyn was a singer, and they both were lovers. Dylan also finds an article online stating that Jack had shot Evelyn and another policeman, Noah (Jack Ellis), down in the Grand Central Station in a fit of jealous rage before being gunned down by other policemen on 18 April 1986, which was the day both Dylan and Sarah were born.
Dylan then visits Evelyn's sister, and she gives Dylan a stack of letters that Jack wrote to Evelyn as she could never bear to read them and shows him the necklace she is wearing saying that it was all she needs to remember her. The necklace is identical to the one that Dylan had seen Sarah wear. She also tells him that Noah; the policeman was taking Evelyn to Millhurst to keep her safe from Jake and that it seemed that he was also in love with Evelyn. Noah goes to the Grand Central Station to buy a ticket for the Millhurst Express, but is told that the service was terminated 30 years ago and now the train is known as the Poughkeepsie Express. At exactly 2:22 PM the chandelier crashes to the floor.
Dylan connects the dots and realises that Dylan was Jake in his past life, while Sarah was Evelyn, and that he would kill her at Grand Central Station on their birthday, 18 April at 2:22 PM. He realises that the pattern of events that has been happening was leading up to the day they both would die. He tells Sarah this and she does not believe him. As she tries to calm Dylan down, Dylan insists that they both should break up as he would soon kill Sarah, which he does not want to as he knows that they are soul mates.
Dylan contemplates suicide, which was unsuccessful, while a distraught Sarah looks for Jonas in his apartment. Jonas offers to bring Sarah to Millhurst to help her feel better about the breakup. The next day, both Jonas and Sarah's flight to Millhurst gets canceled and they have to go to Grand Central Station to take a train there. Meanwhile, Dylan looks for Sarah and in the midst of it, he breaks into Jonas' apartment and sees that Jonas recognises Sarah as Evelyn in his past life and that he was Noah. Dylan figures out that Jonas/Noah is obsessed with Sarah/Evelyn and that Jonas/Noah had a gun with him and races to the Grand Central Station to see her. On his way he attracts the attention of the police and leads them there.
At the Grand Central Station, Sarah realises that the patterns Dylan saw were true and she tries to leave but is stopped by a crazed Jonas calling her Evelyn. He wants Sarah to admit that she loves him, while Sarah refuses just as Dylan arrives at the Station. Jonas thinking that Sarah called him there gets enraged and makes his way towards Dylan with a gun while Sarah sees the events unfold as Dylan had described them to her, and realises that she is the pregnant woman standing under the clock.Jonas first points his gun towards Dylan and then Sarah saying that ""she'll never be yours"" intending to kill her so that if he couldn't have her neither could Dylan but Dylan shields Sarah just in time but himself gets shot at 2:21 PM.
The events from 30 years ago plays out with Jake/Dylan protecting Sarah/Evelyn from Noah/Jonas and at exactly 2:22 PM Jonas gets shot by the police who have followed Dylan there. Dylan also falls in Evelyn's arms and momentarily closes his eyes having visions of Jake and Evelyn being affectionate. He does not die and Sarah then looks at the clock, saying it was 2:23 PM and they managed to survive. Turns out that the Jake was framed for murdering Noah and Evelyn as the police had wanted to save the reputation of Noah since he was a Police detective and one of them. Also the dying star; Hamlin mentioned at the start of the movie finally disappears but a new star is immediately reborn.
In the ending scene, it is shown that Dylan and Sarah are living happily, with Dylan having finally overcome his fear of flying and is now a pilot and Sarah smiling affectionately at their baby in the cradle."
18034,2017,Valobasha Emoni Hoy,Bangladeshi,Tania Ahmed,"Irfan Sazzad, Mim Bidya Sinha Saha",romance,https://en.wikipedia.org/wiki/Valobasha_Emoni_Hoy,"The story starts off with two mercenaries, Mishu and Mahatab (Mishu Sabbir and Mir Sabbir) who receives a briefcase full of money for a job,murder, which they were supposed to do. But they decide to reform and start a new cleaner life and would use the money to kick start their new life They enjoy their time with the money they had received and roam around London. At a point of their journey, they see a Bengali girl, Oishee (Bidda Sinha Saha Mim) with a British guy, Peter. Mishu falls for her immediately, and they decide to follow her. While following her, they realize that someone is already following them. Someone who turns up everywhere they were going asking for a lighter. They keep that in mind and follow Oishee to her house in the jungles. There they find the guy who had been following them, Sajjad (Irfan Sajjad) and threatens him to find out why he was following them. They find out that Sajjad was hired by Oishee's father (Tareq Anam Khan) to get rid of Peter. Mishu, in order to see Oishee, peeks into Oishee's house but instead sees another girl, Mithila, and gets stunned by seeing her alive. This was the girl they were supposed to assassinate but she remained alive. Then they team up with Sajjad to solve these unsolved mysteries but to find out a numerous problems which they had to face with great difficulties.[4]"
18035,2017,Nabab,Bangladeshi,Joydeep Mukherjee,"Shakib Khan, Subhasree Ganguly, Amit Hasan, Rajatava Dutta",action,https://en.wikipedia.org/wiki/Nabab,"A group of people travelling in a bus, later the bus stops for a tea break and the hooligans arrive at the same time when suddenly a passing convoy is attacked and the assassins try to kill the man inside one of the cars. The man using his swiftness foils the attack and manages to nab and arrest one of the attackers while killing another.The rest manage to escape the scene.
This man is Chief Investigating Officer Rajib Chowdhury (Shakib Khan) and the person in the car turns out to be Chief Minister Ananya Chatterjee (Aparajita Adhya) who was impressed with Rajib and delegates to him the task of locating the people behind recent terrorist conspiracy to Rajib. Rajib promises to fulfill the job to the best of his ability.
Masud (Sagnik Chatterjee) a Muslim ACP is taken off from the Special Action Team when a notorious gangster Mustaq escapes his clutches. Despite being an honest and upright police officer with the best intelligence gathering network in the force, Masud is rueful that he is being given low class treatment because he is a Muslim and is being perceived as having let Mustaq escape because he was a Muslim as well.Rajib wants Masud on the team, but Masud refuses.It is revealed that Rajib's father Constable Shymal Chowdhury was killed by terrorist in Bangladesh which motivated Rajib to join police force.
It is shown that Avoy Mandal(Kharaj Mukherjee) the Deputy CM was the one who committed the fraud and is trying to ensure that he is not caught and hence he had asked the assassins to attack the CM. Rajib tries to break the back of crime and this starts irritating Mandal who senses how close Rajib is getting. Mandal then frames Rajib for the murder of Meghla(Meghla), daughter of the Police Commissioner Gautom(Rajatava Dutta).
Rajib escaped prison then went to the Commissioner's house to tell him the truth, but there he accused for the murder of Commissioner.With the help of his love interest Rajib reached to Mandal. But imprisoning his mother and few colleagues Mandal trapped Rajib to kill CM in a high security zone."
18036,2017,Boss 2: Back to Rule,Bangladeshi,Baba Yadav,"Jeet, Nusrat Faria Mazhar",action,https://en.wikipedia.org/wiki/Boss_2:_Back_to_Rule,"The Story revolves around Surya(Jeet), a public figure who is now hated by the people of India due to an apparent missing of their money kept in Business bank, a bank built by Surya for his people. Gopinath, Surya's loved minister was killed by an unknown person due to various enmities. Surya was forced to leave India due to repeated threats by the people and the police. He dressed as a Rock musician and sneaked into Dhaka, Bangladesh, to look for Prince Shahnawaz Hussain(Amit Hasan), who had earlier promised to donate a huge sum for his company, Surya Industries. But later he came to know that he betrayed him and went off to Bangkok,Thailand. In Dhaka, Aisha(Nusraat Faria) who was actually Shahnawaz's daughter helped Surya to overcome various problems and come to Bangkok. In Bangkok, during an action scene on the top of Shahnawaz's building, we come to know that actually Bidyut Shivalkar(Indraneil Sengupta), Gopinath's son, who Surya had believed to be his friend due to his enormous contributions to his industry, was the one who tricked Surya by stealing all the money in the bank with a hope to become a wealthy man. He is also the man who killed his father by gunfire due to greed of property. The people who helped him were Prince Shahnawaz Hussain(Amit Hasan) and Avinash Burman(Kaushik Sen), another politician friend of Gopinath, with the same intention.Surya escaped them by jumping down the building using a rope. He is soon able to kill Shahnawaz with the help of Aisha, who hates her father for killing many people including her mother. He also is able to poison Avinash to death while asleep, in spite of the huge security. But then the plot turns around when Bidyut captures Aisha and Rusha(Subhasree Ganguly), Surya's lover.But finally, in an action scene, he is able to save both of them and gets hold of Bidyut. He also thus is able to win back the lost money. Bidyut is sent to jail and a victorious Surya is once again able to bring happiness to his people and criticizes them for losing their trust on him. Nevertheless, the film ends on a happy note with Surya being able to win back the trust of the people."
18037,2017,Dhaka Attack,Bangladeshi,Deepankar Deepan,"Arifin Shuvo, Mahiya Mahi, Afzal Hossain, Shatabdi Wadud A B M Shumon, Nowshaba","action, thriller",https://en.wikipedia.org/wiki/Dhaka_Attack,"The story centers on the Dhaka Metropolitan Police (DMP) Elite Forces' fierce operation against a terrorist organization, the attack is part of a plot by few foreign intelligence agencies to destabilize the country, in order to destroy the country's defense layers.[5] The film stars Arifin Shuvo as the Assistant Deputy commissioner of DMP, and the in-charge of Bomb Disposal Unit. Sumon played the role of a commander of SWAT Force. The film also features Afzal Hossain as the DMP Commissioner, Shatabdi Wadud as Intelligence officer, and Mahiya Mahi as a news reporter.[6][7]"
18038,2017,Noor Jahaan,Bangladeshi,Raj Chakraborty,"Puja Cherry, Adrit Roy",romance,https://en.wikipedia.org/wiki/Noor_Jahaan,"Noor Jahaan is the story of two young lovers, Noor (played by Adrit roy) and Jahaan (played by Puja cherry).[3]"
18039,2017,Mrittupuri: Kill Zone,Bangladeshi,Zayed Rizwan,"Arifin Shuvo, Prosun Azad",action,https://en.wikipedia.org/wiki/Mrittupuri:_Kill_Zone,"Sydney is a dream city for many immigrants, but also it is an ideal place for many international crime lords. Gangsters from Bangladesh, China, Lebanon, Russia have all moved to Australia, to take a piece of the pie, and try to build empire. Among them is the rising Bangladeshi gang Double R. Rajan Rahman (Rahmatullah), the kingpin of Bangladeshi gang is not happy with the way his elder son, Rajib Rahman (Saifullah Sadi) and his crime associate Raja (Arifin Shuvoo), run the business. The situation comes to a head after the timely death of Irish Mob boss’ son Jimmy, which prompts Rajib to leave the country. Raja maintains low profile during this period, and in the process falls in love with bar dancer Layla (Prosun Azad). Upon Rajib’s return, he warns Raja not to get involved with Layla, as he perceives Layla to be his own property. Raja manages to divert Rajib’s mind away, with plans to do business with Lengra Kashem (Taskeen Rahman), a mercenary from Bangladesh. Rajib and Sabbir, his youngest brother, meet Lengra and promise him the East coast territory, leading to their business partnership to become a booming new empire. Eventually, Rahman and his crew fall through on their deal, and remove Lengra from the partnership. Lengra decides to avenge this deception, waiting for the right time to strike."
22895,2017,Hanson and the Beast,Chinese,Xiao Yang,"Feng Shaofeng, Liu Yifei, Li Guangjie",comedy / romance / fantasy,https://en.wikipedia.org/wiki/Hanson_and_the_Beast,"Yuan Shuai, a debt-ridden animal-breeder, tries to get out of his financial predicament by finding a wealthy girlfriend through matchmaking dates. He unexpectedly meets and fall in love with the fox demon, Bai Xianchu, who has arrived to the mortal realm to repay her gratitude. However, the head of the Demon tribe Yun Zhonghe forbids a love relationship between a demon and a human; and takes Bai Xianchu away. To seek his lover, Yuan Shuai bravely crashes the demonic world."
